id,language,key,value,created_at,updated_at
c745b600-8154-4584-9b91-9c196d608a69,pt-BR,errors.resourceNotFound,Recurso não encontrado,2025-03-10 21:25:23.910641+00,2025-03-10 22:17:57.773514+00
c7d3fbab-412d-43dc-b715-30b53d73a3b4,en,status.supabase.responseTime,Response Time,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
ca115961-1e74-4590-a48b-f88603a24611,en,status.tables.name,Table Name,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
ca34ca83-8c25-41f2-9e29-f4048a834efc,en,categories.tools,Tools,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
ca49b74f-2034-46fa-ab7f-51d93452ea34,en,profile.favorites.browse,Browse resources,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
ca900cbf-c321-4e32-bbca-787dd2052de1,en,resource.like,Like,2025-03-10 21:25:23.910641+00,2025-03-10 22:17:57.773514+00
cb29e361-7f7e-4f48-ba9d-969c5ef2d82e,pt-BR,common.backToProfile,Voltar para Perfil,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
cb2b1591-11b9-42b8-b31d-d603da5dac1f,pt-BR,home.filters.software,Software,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
cb3fd9f8-1136-4265-a324-eb589bb1de96,en,resource.addFavorite,Add to favorites,2025-03-10 21:25:23.910641+00,2025-03-10 22:17:57.773514+00
cb5db5be-5526-40cf-9f8a-1c19939bd225,en,resource.share,Share,2025-03-10 21:25:23.910641+00,2025-03-10 22:17:57.773514+00
cb65f417-17ee-4376-9a44-7bce20677aef,pt-BR,home.sections.popular,Mais Populares,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
cbb4375c-658e-4ff4-946b-1263273849c5,pt-BR,home.sections.trending,Em Alta,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
ccf3a63d-e750-43da-a4de-392e1423641b,en,editProfile.form.username,Username,2025-03-10 22:35:19.634073+00,2025-03-10 22:35:19.634073+00
cd4222e4-6c90-4d2f-bacd-e47356d59ffc,en,resource.loading,Loading...,2025-03-11 15:35:51.393939+00,2025-03-11 15:35:51.393939+00
cd88338e-fb9f-46a8-b75a-60811da0df55,pt-BR,profile.accountInfo.notSet,Não definido,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
cdc93aed-63b6-4fdf-a107-e716d0cf8360,en,ui.other,Other,2025-03-11 15:35:51.393939+00,2025-03-11 15:35:51.393939+00
cdd486c9-066c-4308-84da-cc8667911f08,pt-BR,tags.photoshop,photoshop,2025-03-11 18:47:58.506637+00,2025-03-11 18:47:58.506637+00
ce0c9722-1f5e-4215-8385-5618f877e4ea,pt-BR,status.tables.status.inaccessible,Inacessível,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
cee1dd7a-949f-420d-bb25-34e6cb253622,pt-BR,submit.form.submitting,Enviando...,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
cef311f4-c34d-4ebe-82dc-3d8db9ff006b,en,editProfile.validation.invalidChars,"Username can only contain letters, numbers, underscores, and hyphens",2025-03-10 22:35:19.634073+00,2025-03-10 22:35:19.634073+00
cf0bb405-1c05-4705-9d76-101fe887cf15,pt-BR,home.filters.clearAll,Limpar tudo,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
cf333697-ad71-4550-a0a1-36d51b0a13b2,pt-BR,resource.report,Reportar,2025-03-10 21:25:23.910641+00,2025-03-10 22:17:57.773514+00
cf3ba39b-c525-4280-8d83-715d21cdc288,en,resource.visit,Visit,2025-03-10 21:25:23.910641+00,2025-03-10 22:17:57.773514+00
d0301717-e957-441b-85d0-51a5f4a4e280,pt-BR,home.filters.apply,Aplicar filtros,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
d0bc1da1-51a5-4d9a-b603-13cb6840da7b,en,home.tags.more,More tags,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
d0c77191-2947-4dd8-bb53-4b1f9266d05a,en,home.categories.assets,Assets,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
d0d29f5d-3f12-4938-a536-32533f1a99d3,en,status.supabase.status.error,ERROR,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
d19e0b6d-4a09-468c-a510-be8161c50e2a,en,home.sections.mostLiked,Most Liked Resources,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
d1a569bc-7c48-4029-81b8-caf1ff72a116,en,editProfile.form.avatar,Avatar,2025-03-10 22:35:19.634073+00,2025-03-10 22:35:19.634073+00
d1cf2f5a-f19c-4b82-a7a5-9191d066c888,pt-BR,submit.form.description,Descrição,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
d204ab92-7b52-4254-a3df-1efbb3bb3257,en,ui.close,Close,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
d263d524-b246-48d4-b72e-88d3f08ff63b,pt-BR,tags.typography,tipografia,2025-03-11 18:20:36.101134+00,2025-03-11 18:20:36.101134+00
d2ed3c0e-3fb2-4a2a-92aa-a829003ce333,pt-BR,tags.mockups,mockups,2025-03-11 18:20:36.101134+00,2025-03-11 18:20:36.101134+00
d378716e-9471-4405-9659-ecea355bef1a,en,status.server.memoryUsage,Memory Usage,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
d3b24401-6217-4abf-bbb1-29e1e69ed440,en,status.server.responseTime,Response Time,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
d3d6842f-bc20-4d87-889e-dbe36afd2956,pt-BR,errors.resourceNotFoundDesc,O recurso que você está procurando não existe ou foi removido.,2025-03-10 21:25:23.910641+00,2025-03-10 22:17:57.773514+00
d3f56415-e25c-43a5-80e5-91a59d5a02fc,pt,common.home,Início,2025-03-10 20:53:46.593206+00,2025-03-10 20:53:46.593206+00
d411d19d-31d3-45a3-8f86-d6194f699ef5,pt-BR,status.server.uptime,Tempo Online,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
d44ddb4b-e037-4d7f-822c-eaa4aa2896e9,en,resource.author,Author,2025-03-10 21:25:23.910641+00,2025-03-10 22:17:57.773514+00
d45648d5-cafd-44b1-a834-f8ecc2db62a2,en,software.illustrator,Illustrator,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
d535719b-885a-4ad9-9e65-b4667e8b7d8d,en,home.sections.viewAll,View All,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
d5a1af85-9878-49e5-a0a1-a89b0d3e8f2b,pt-BR,resource.description,Descrição,2025-03-10 21:25:23.910641+00,2025-03-10 22:17:57.773514+00
d5a3af60-40c8-4c6a-9b65-4d2286aea643,en,tags.design,design,2025-03-11 18:20:36.101134+00,2025-03-11 18:20:36.101134+00
d5ad708d-3172-4ed2-8f8c-9f6f8e704737,en,ui.select,Select,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
d5d8c4ac-58ce-4a2b-9cdc-40a1eb5482cf,en,status.server.uptimeValue,{hours} hours,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
d615e998-eb4e-4596-86d7-2cbbdba6998f,pt-BR,editProfile.errors.timeout,"O carregamento demorou muito. Por favor, atualize a página.",2025-03-10 22:35:19.634073+00,2025-03-10 22:35:19.634073+00
d962f215-391e-4f1e-b455-55ac05b8721b,en,home.hero.titleHighlight,Creative Resources,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
da050d02-a7fb-4003-ba37-831b8fde4401,en,category.filters.popularTags,Popular Tags,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
da0da65f-4466-4f07-9e57-b7f954f75e10,pt-BR,status.server.status.online,ONLINE,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
dbb644dd-cb7c-41f7-bee2-1019ab1e9fb0,pt-BR,comments.addComment,Adicionar um comentário...,2025-03-11 18:47:58.506637+00,2025-03-11 18:47:58.506637+00
dbbb5faf-54b6-4c45-ae9e-23e32ce1d7e4,en,subcategories.audiovisual,Audiovisual,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
dc12f1d5-f2b0-49e1-99ae-955d9530708e,pt-BR,submit.signInRequired,Você precisa estar conectado para enviar um recurso.,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
dc91ecdf-776a-4a2c-8d07-708da2666aa3,en,ui.copy,Copy,2025-03-11 15:35:51.393939+00,2025-03-11 15:35:51.393939+00
dd7ecde2-5043-4b8d-841e-58a9124c0c4e,en,subcategories.portfolio,Portfolio,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
dd92b63d-5dab-4528-a79b-cd729d326f9d,en,resource.comments,Comments,2025-03-10 21:25:23.910641+00,2025-03-10 22:17:57.773514+00
ddb4a406-4e39-44ea-a60c-c09ffea2f780,pt-BR,submit.form.imageUrl,URL da Imagem,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
dee8a5cd-dac7-4479-8a4d-0153edec1b2b,pt-BR,ui.open,Abrir,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
df746fd1-d644-4d8d-b84d-0fce4dd05302,pt-BR,tags.sketch,sketch,2025-03-11 18:47:58.506637+00,2025-03-11 18:47:58.506637+00
dfa130ab-ea12-4a94-943b-1468c8c632b1,en,category.filters.search,Search,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
dfc444d0-5fd2-48bd-a4b9-eb56eccdb5ee,pt-BR,ui.copy,Copiar,2025-03-11 15:35:51.393939+00,2025-03-11 15:35:51.393939+00
dfc7f4fb-d521-4bce-8160-390518987803,pt-BR,submit.errors.submitFailed,Falha ao enviar recurso,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
e0d6c05e-5d2a-4751-a4d4-bffe045b600d,pt-BR,subcategories.typography,Tipografia,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
e199339f-068c-40dd-9b2a-e5aacc67fcce,en,ui.remove,Remove,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
e2d6bc56-3f83-4cfa-8b3d-b3f6bd61f15c,pt-BR,submit.errors.notSignedIn,Você precisa estar conectado para enviar um recurso,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
e30b16fd-7ba9-433e-9bea-077f837b1495,pt-BR,tags.popular,Popular,2025-03-10 21:25:23.910641+00,2025-03-10 22:17:57.773514+00
e3788719-dc71-462e-ad03-1744f6d754b9,en,categories.description,Browse our curated collection of {category} resources,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
e3f1da09-579f-4e97-a255-3a4e3fb433d0,pt-BR,favorites.browseResources,Explorar Recursos,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
e4072524-4c83-42c3-a2e4-b8c00f83fd94,en,resource.related,Related Resources,2025-03-10 21:25:23.910641+00,2025-03-10 22:17:57.773514+00
e4151b0c-de08-4b37-b277-f9ea5e5a11b1,pt-BR,tags.resources,recursos,2025-03-11 18:20:36.101134+00,2025-03-11 18:20:36.101134+00
e445494a-9930-451d-b85c-a651ed13d0ea,pt-BR,tags.3d,3d,2025-03-11 18:20:36.101134+00,2025-03-11 18:20:36.101134+00
e513d71c-e3e1-48f2-89cb-93ea68d6d717,pt-BR,categories.reference,Referências,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
e51d6202-89db-4e75-ada1-7eaf0fc49e36,en,status.tables.title,Database Tables,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
e530d222-e0bf-4e19-9c19-6f5947135f0b,pt-BR,editProfile.form.avatar,Avatar,2025-03-10 22:35:19.634073+00,2025-03-10 22:35:19.634073+00
